Fecha,Pcy_orgml
5/3/2016,6.36E+06
5/19/2016,8.86E+06
6/14/2016,4.89E+06
6/29/2016,8.75E+06
7/13/2016,1.10E+07
8/2/2016,9.56E+06
8/19/2016,6.92E+06
9/21/2016,7.07E+06
10/21/2016,1.14E+07
11/23/2016,1.03E+07
1/19/2017,5.11E+06
1/31/2017,7.74E+06
2/15/2017,6.71E+06
3/3/2017,4.21E+06
3/13/2017,5.96E+06
3/27/2017,7.11E+06
4/18/2017,1.16E+07
5/2/2017,1.16E+07
5/16/2017,8.83E+06
5/31/2017,9.78E+06
6/13/2017,1.02E+07
6/28/2017,7.88E+06
7/11/2017,7.24E+06
8/3/2017,8.78E+06
8/15/2017,8.67E+06
8/31/2017,7.71E+06
